STATE,DISTRICT,STATION_NUM,STATION,Latitude,Longtitude,Lat_SPEI,Lon_SPEI,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21
ANDHRA PRADESH,CHITTOOR,53,G.D.Nellore-GW,13.2,79.2,13.25,79.25,-0.458,0.299,0.299,-0.148,-0.458,-0.821,-1.049,-1.049,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-0.629,-0.148,0,0.148,0.148,-0.299,-0.299,-0.458,-0.821,-0.821,-1.049,-1.049,-1.352,-1.89,-1.89,-1.89,-1.049,-1.352,-1.352,-1.352,-1.352,-0.629,-0.821,-0.629,-0.299,-0.629,-0.458,-0.629,-0.299,-0.821,-0.821,-0.821,-0.629,-0.458,-0.629,-0.299,0,-0.299,-0.299,-0.299,-0.458,-0.629,-0.629,-0.629,-1.049,-1.049,-1.352,-1.352,-1.89,-1.352,-1.049,-1.049,-0.821,-1.049,-1.049,-1.049,-0.458,0.299,0.148,0.148,0.458,0.458,0.299,0.299,0.299,0.458,0.458,0.458,0.821,1.049,1.352,1.049,1.049,0.821,0.821,0.821,0.629,0.629,0.629,0.821,0.629,0.821,0.299,1.89,0.821,0.629,0.458,0.458,0.458,0.299,0.821,0.629,0.458,-1.352,0.629,0.629,0.299,0.148,0.148,0,-1.89,0,0.299,-0.148,-0.148,0,0,-0.148,-0.458,-0.821,-0.821,-0.821,-0.629,-0.148,0.148,0.148,0,-0.299,-0.299,1.352,1.352,1.352,1.352,1.049,1.049,0.821,1.352,1.352,1.352,1.352,1.049,0.299,0.148,0,-0.148,-0.148,-0.148,-0.458,0,0,0.148,0.148,-0.148,-0.458,-0.821,1.049,1.049,1.352,1.352,1.049,1.049,1.049,1.049,0.629,0.458,0,-0.148,-0.458,-0.629,-0.458,0,0.148,-0.148,-0.299,-0.299,0.458,0.821,0.458,0.629,0.299,0.629,0.629,0.821,1.352,1.89,1.89,1.89,1.89,1.89,0.821,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,CHITTOOR,190,Chinnagottigallu-GW,13.7,79.1,13.75,79,-0.821,-0.821,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-1.049,-1.049,-1.049,-1.352,-0.821,-0.821,-0.458,0.821,1.352,1.049,1.352,1.352,1.352,1.352,1.049,1.352,1.352,1.352,1.352,1.049,1.049,0.821,0.821,0.821,0.821,0.821,0.629,0.629,1.049,1.049,1.89,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,0.629,1.89,-0.821,1.352,1.049,1.049,1.049,1.049,0.821,0.821,0.821,0.821,0.821,0.629,0.458,0.148,0.299,0.299,0.458,0.458,0.458,0.458,0.629,0.629,1.049,0.458,0.299,0.299,0.148,0.148,0.148,0,0,0,0.299,0.458,0.458,0.148,0,-0.148,-0.148,-0.148,0,0.148,0.148,1.049,-0.148,-0.148,0,-0.148,-0.458,-0.629,-0.629,-0.629,-0.458,-0.299,-0.148,-0.458,0.148,-0.299,-0.299,-0.821,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-1.352,0.148,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,0.299,0.821,0.629,0.629,0.629,0.629,0.629,1.352,0.299,0.458,0.299,0.148,-0.299,-0.148,-0.299,-0.299,-0.458,-0.629,-0.458,-0.458,-0.629,-0.458,-0.629,-0.629,-1.049,0.629,0.458,0.458,0.458,0.299,0.299,0.299,-0.148,0,0.148,0.299,-0.458,-0.299,-0.458,-0.458,-0.821,-0.821,-0.629,-0.629,-0.821,-0.299,0,-0.148,-0.629,-0.629,-0.821,-0.821,-0.299,-0.299,-0.148,-0.299,-0.299,-0.629,-0.458,-0.821,0,0.148,0,0,0,-0.148
ANDHRA PRADESH,CHITTOOR,287,Vayalapadu-gw,13.6,78.6,13.5,78.5,-1.049,-1.049,-0.821,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.89,-1.89,-1.89,-1.352,0,0.299,1.89,1.352,1.049,1.049,0.821,0.821,0.821,1.049,1.049,0.821,1.049,0.629,-0.458,-0.458,-0.458,-0.629,-0.629,-1.049,-1.049,-0.299,-0.629,-0.458,-0.299,-0.629,0.148,0,1.89,0.458,0.629,0.629,0.629,0.821,0.458,0.299,-0.148,0.458,0.458,0.821,0.148,0,0,-0.148,-0.148,-0.458,-0.821,-0.629,1.352,1.89,1.049,0.299,-0.299,-0.299,-0.299,-0.299,-0.458,-0.148,-0.299,0,0.299,-0.148,1.352,1.049,0.629,0.299,0.148,0.148,0.299,0.299,0.148,0.458,0.821,0.148,-0.629,-1.049,-1.049,-1.049,-1.049,-0.821,-0.299,0.458,0.629,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,-1.352,-1.352,-1.352,-1.352,-1.89,-1.049,-1.049,0.629,0.629,0.821,1.352,1.049,1.352,1.352,1.89,1.89,1.89,1.89,0.821,-0.299,-0.629,-0.629,-0.458,-0.458,-0.458,-0.821,-0.629,-0.458,-0.148,-0.821,-0.821,-1.049,-0.299,0.299,0.821,1.352,1.049,1.049,1.352,1.352,1.049,0.458,-0.299,-0.148,-0.148,0,0.148,0.299,0.299,0.148,0.148,-0.148,-0.299,-0.629,1.352,0.821,0.458,-0.148,-0.148,-0.148,0,0,0,0,0.148,-0.458,-0.458,0.299,0.148,0.458,0.629,0.458,0.458,0.458,0.629,0.299,0.629,0.148,0,-0.821,-0.821,-0.821,-0.821,-0.821,-0.629,-0.629,-0.821,0.821,1.352,0.629,1.049,0,1.89,1.352,1.89,1.89,1.89,1.89
ANDHRA PRADESH,CHITTOOR,352,Panapakam-1-GW,13.5,79.2,13.5,79.25,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-1.89,-1.89,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-0.629,0.299,0.148,0.148,0.148,0.148,0.821,0.629,0.821,0.458,0,-0.148,-0.821,-0.821,-0.821,-1.049,-0.821,-0.821,-0.821,-0.629,-0.821,-0.458,0.821,1.049,1.89,1.049,0.629,1.352,1.352,1.049,1.049,1.352,1.352,1.352,1.049,1.89,1.352,1.352,1.352,1.049,0.458,0.458,0.299,0.458,0.299,0.148,0.148,0.629,0.629,0.821,-0.148,-0.458,-0.458,-0.299,-0.458,-0.299,-0.148,-0.299,-0.148,-0.299,-0.148,0.148,0.299,0.458,0.299,0.299,0.148,0.299,0.148,0.629,0.458,0,0,0,0,0,0,-0.629,-0.148,0,0,0,-0.299,-0.458,0.299,-0.148,-0.629,-0.148,-0.148,0,0,0.148,0.629,0.299,0.299,0.148,-0.458,-0.458,-0.458,-0.299,-0.299,-0.148,-1.049,-0.821,-0.629,-0.821,-0.821,-1.049,-1.89,-1.352,-1.352,-1.89,-1.352,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,-0.821,1.049,0.629,0.821,0.821,1.049,0.821,0.629,1.049,1.89,1.89,1.89,1.352,0.821,-0.299,-0.299,-0.629,-1.049,-1.049,-0.299,-0.148,-0.299,-0.148,-0.629,-0.629,-1.049,-1.049,1.049,0.629,0.629,0.629,0.458,0.821,1.049,0.821,0.629,0.299,0.148,-0.629,-1.049,-0.821,-0.629,-0.458,-0.629,-0.458,-0.458,-0.629,-0.458,0.821,0.458,0.458,0.458,0.299,0.821,1.89,1.89,1.89,0.458,1.049,1.352,0.458,-0.299,1.89,1.89,1.89,1.89,1.352,1.352
ANDHRA PRADESH,CHITTOOR,419,Gudipala-GW,13.1,79.1,13,79,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,-1.352,0,0,0.148,0.148,0,0,-0.148,-0.458,-0.821,-0.821,-0.629,-0.458,-1.049,-1.049,-1.049,-0.458,-1.049,-0.821,-0.629,-0.629,-0.148,-0.458,-0.821,-0.821,-0.821,-0.299,0,0,0.299,-0.148,0.148,-0.148,-0.629,0.148,0.299,-0.299,0.629,0.821,0.458,0.458,-0.148,0.299,0.299,0.148,-0.458,-0.629,-1.049,-1.049,-0.629,-0.629,-0.821,-0.299,-0.629,-0.629,-0.458,-0.299,0.148,0.458,-0.148,0.458,1.049,1.049,0.821,0.629,0.629,0.458,0.458,0.299,0.458,0.629,0.629,0.629,0.299,0.299,0.299,0.299,0.458,0.629,0.821,1.352,1.352,1.352,0.821,1.352,1.352,0.629,0.629,0.821,0.821,0.821,1.049,0.821,0.821,-1.049,1.89,1.049,0.821,0.148,-0.148,-0.148,-0.299,-0.458,-0.299,-0.821,-0.299,0,0.148,0,-0.458,-1.352,-1.352,-0.821,-1.352,-1.049,-1.049,-1.049,-1.049,-0.299,-0.299,1.89,1.89,1.89,1.89,1.89,1.352,1.352,1.89,1.89,1.89,1.89,1.049,0.821,0.458,-0.148,-0.299,-1.89,-0.458,-0.299,0,0,0,-0.148,-0.458,-0.629,-1.352,1.352,1.049,1.049,1.049,1.049,1.352,1.049,0.299,0.299,0.458,0.299,-0.148,-0.458,-0.458,-1.049,0.148,0.148,0.629,0.629,0.629,1.049,1.352,0.148,-0.299,-0.821,-0.629,-0.629,-0.821,-1.352,-0.821,0.458,1.049,0.821,0,-0.148,0.148,0.458,1.352,1.352,1.89,1.89
ANDHRA PRADESH,CHITTOOR,855,Chandragiri-1-GW,13.6,79.3,13.5,79.25,-1.049,-1.049,-0.299,-0.821,-1.049,-1.89,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,-1.352,-1.049,-0.458,-0.821,0.458,1.352,0.821,0.629,0.629,0.821,0.629,0.629,0.821,0.629,1.049,0.629,0.629,0.629,0,0,0,-0.148,0,0,0.148,0,0.148,-0.299,0,0.148,-0.458,0.821,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.049,1.89,1.049,1.352,1.352,0.821,0.629,0.821,1.049,0.629,0.821,0.821,0.458,0.299,0.299,-0.299,-0.299,-0.299,-0.458,-0.299,-0.458,0.299,0.148,0.458,0.148,-0.458,0.458,-0.148,-0.148,-0.148,-0.299,-0.148,-0.299,-0.299,-0.458,-0.148,-0.629,-1.352,-0.629,-0.629,-0.821,-0.629,0.299,-0.629,0.458,-0.821,0.458,-0.629,1.89,1.352,-0.821,0.458,-0.458,-0.458,-0.821,-0.458,-0.629,-0.458,-0.821,-1.89,-0.458,-0.821,-0.148,-0.821,-0.629,-0.821,-0.629,-1.049,-0.148,-0.148,-1.89,-1.049,-1.89,-0.148,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.352,-1.352,-1.352,0.148,1.89,1.049,1.049,1.049,1.049,1.049,1.89,1.89,1.89,1.89,1.352,1.049,0.821,0.148,0.299,0.148,0,0.299,0.299,0.458,0.299,0,0,-0.629,-0.299,0.629,0.458,0.299,0.148,0.148,0.148,0,-0.148,0.299,-0.148,-1.049,-0.458,-1.049,-1.049,-1.049,-1.049,-0.821,-0.821,-0.629,-0.629,-0.299,0.299,-0.299,0,0.299,0.148,0.458,0.458,0.458,0.821,1.049,1.049,0.629,0.821,0.821,-1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,CHITTOOR,905,Palasamudram-GW,13.2,79.4,13.25,79.5,-0.458,-0.821,-0.821,-1.049,-1.352,-1.049,-1.352,-1.049,-1.352,-1.049,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-0.148,1.049,1.352,1.352,1.89,1.89,1.89,1.049,1.352,-0.299,0.629,1.049,1.89,1.352,1.049,0.821,0.821,0.821,0.148,0.148,0.148,0.148,0.148,0.299,0.458,0.148,0.148,0.148,-0.299,-0.299,0,-0.148,-0.148,0,-0.148,-0.299,0,-0.299,0.299,0.299,0,-0.148,-0.148,-0.299,-0.299,-0.148,-0.458,-0.629,-1.89,-1.352,-1.049,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,-1.352,-1.049,-0.458,-0.299,0.629,0.629,0.629,0.629,0.629,0.299,0.299,0.629,0.821,1.352,1.89,1.352,1.89,0.821,1.049,1.352,1.049,1.049,0.458,1.049,1.352,0.821,0.821,0.821,0.458,0,0,0.148,0.148,0.629,0.821,0.821,1.049,1.049,0.629,0.629,0.299,-0.148,-0.148,0.299,0.299,0.821,1.89,-0.629,-0.458,-0.299,0.148,0.299,0,-0.458,-0.629,-0.629,-0.629,-0.629,-0.629,-0.821,-0.629,-0.629,-0.821,-1.049,-1.89,-1.89,-1.352,-0.821,-0.821,-0.821,0.629,1.89,1.89,1.89,1.352,1.049,0.821,0.458,0.458,-0.148,0,-0.299,-0.458,0,0.458,0.299,0,-0.458,-0.458,-0.629,-0.299,0.458,0.458,0.458,0,0.299,0.299,0,-0.148,-0.629,-0.629,-0.821,-0.821,-1.049,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-0.821,-0.821,-0.299,-0.458,-0.458,-0.458,-0.458,-0.821,0.458,0.629,0.458,0.458,0.148,-0.148,1.89,1.89,1.049,1.352,1.352,1.352
ANDHRA PRADESH,CHITTOOR,1245,B.N.Kandriga-GW,13.7,79.9,13.75,80,1.352,0,-0.148,0,0.629,0.821,-0.148,0.299,1.89,1.89,0.148,0,-0.148,-0.148,0.458,0.148,1.89,1.049,1.89,0.458,-1.352,0.299,-0.299,-0.458,-0.629,-1.049,-0.821,-0.148,0,1.89,0.821,0.821,1.352,1.049,0.821,1.352,0.821,0.821,0.821,1.89,1.049,0.458,0.629,1.049,-0.821,-0.148,-0.629,-0.821,-1.352,-0.629,-0.629,-0.299,-0.629,0.299,-0.458,-1.049,0.821,-0.299,0,0.148,0.629,0.458,-0.299,-0.458,-0.458,-0.148,0.458,-0.821,-0.458,-0.458,-0.458,0.629,0,0.629,0.629,0.458,-0.148,1.352,0,0.629,-0.148,-0.821,0.299,-0.299,0.299,1.352,0.148,0.299,0.821,0.629,0.299,-0.629,0,-0.629,-0.148,-0.629,0.458,1.049,1.89,0.821,0.299,-0.629,-0.299,0.148,0.148,0.821,1.049,0.458,-1.049,-0.458,1.049,1.352,0.458,-0.299,-0.629,0,0.458,0.458,1.352,0.821,1.049,0.148,0,-0.629,-0.299,0,-0.821,1.352,-0.629,-1.049,-0.821,-1.352,-0.458,-0.821,-0.458,-1.049,-0.821,-0.458,-1.049,-1.89,-1.89,-1.89,-1.89,-1.049,-0.299,-0.299,-1.352,-0.821,-1.049,-1.352,-1.352,-1.352,-1.049,-1.352,-1.049,-1.89,-1.89,-1.352,-1.049,-1.89,-1.352,-1.89,-1.89,-0.458,0.299,0.148,-1.352,-0.148,-0.821,-1.89,-1.89,-1.352,-1.89,-0.821,0.148,-0.148,0.629,0.629,0.629,0.299,0.148,0.299,0.299,0.629,0.148,-1.049,1.352,1.89,1.049,1.352,1.89,1.89,1.89,1.89,1.352,1.049,1.352,0.148,1.049,-0.299,-0.299,0,0.458,1.049
ANDHRA PRADESH,ANANTAPUR,8,Kanaganipalli-GW,14.5,77.5,14.5,77.5,-0.629,-0.629,-0.458,-0.458,0,0.148,-0.458,-0.821,-0.821,-1.049,-1.352,-0.821,-1.89,-1.049,-1.049,-0.629,-0.629,0,0,-0.148,-0.148,-0.148,-0.148,-0.148,-0.148,0,0.148,0,-0.148,-0.299,-0.148,-0.299,-0.458,-0.821,-0.458,-0.629,0,-0.299,-0.299,-0.299,0.458,0.458,0.458,0.148,0.458,0.299,0.458,0.148,0.299,0.458,0.629,1.352,1.352,1.352,1.352,1.049,1.049,1.049,0.821,0.821,1.352,1.352,1.049,1.049,0.821,0.821,0.821,0.821,0.821,0.821,0.629,0.458,0.821,0.821,0.821,0.299,0.629,0.629,0.629,0.629,0.629,0.458,0.299,0,0.148,0.299,0.458,-0.148,-0.299,-0.148,0.148,0.299,-0.299,-0.458,-0.299,-0.458,-0.821,-0.821,-0.821,-1.049,-0.821,-1.049,-1.049,-1.352,-1.89,-1.89,-1.89,-1.89,-0.458,-0.458,-0.629,0.821,0.148,-0.629,-0.629,-0.629,-0.629,-0.629,-1.049,-1.049,-1.352,-1.352,-1.352,-1.352,-1.352,-0.821,-0.821,-1.049,-1.352,0,0,0.629,0.629,0.148,0,0.629,0.299,0.299,0.299,0,0,-0.299,-0.629,-0.299,-0.299,-0.148,-0.148,-0.821,-1.049,-1.352,-1.89,-1.89,-1.049,-1.352,-0.821,-1.352,-1.049,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,0.458,0.299,0.148,0.148,0.299,0.458,0.629,0.299,0.148,-0.458,-0.458,-0.299,-0.458,0.148,0.629,1.049,1.049,1.049,1.049,1.352,0.458,1.049,1.049,1.049,1.352,1.352,1.352,1.352,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,127,N.P.Kunta-GW,14.1,78.4,14,78.5,0.299,0.148,-0.148,-0.458,0.148,-0.821,-1.049,-0.821,-0.821,-0.821,-0.821,-0.821,-1.352,-1.89,-1.89,-1.049,-0.821,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.89,1.352,1.049,0.629,0.821,0.458,0.148,0.299,0.458,0.299,0.148,0,-0.148,-0.148,0.148,0,-0.148,0,0,0.148,0.299,0.458,0.458,0.458,0.458,0,0,1.352,1.049,0.629,0.821,0.629,0.629,0.629,0.629,0.629,0.821,0.458,0.458,0.299,0,-0.299,-0.299,-0.629,-0.629,-0.629,-0.629,-1.049,-1.049,-0.458,-0.629,-0.821,-1.049,0.299,0.299,0,0,0.148,0,-0.148,-0.629,-0.821,-0.299,-0.299,-0.299,-0.458,-0.458,-0.458,-0.299,-0.148,-0.299,-0.629,-0.821,-1.049,-1.049,-1.89,-1.89,-1.352,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,0.148,0.299,0.299,1.049,1.89,1.352,0.629,0.821,0.821,0.821,0.821,0.821,0.629,0.629,0.629,-0.148,-0.458,-0.629,-0.821,-1.049,-1.049,-1.049,-1.049,0.299,1.049,0.821,0.821,0.458,0.458,1.89,1.352,1.352,1.352,1.352,1.352,1.352,1.352,1.89,1.352,0.821,0.299,-0.148,-0.148,-0.148,-0.148,-0.458,-0.458,-0.458,-0.458,-0.629,-0.458,-0.629,-0.629,-1.049,-0.629,-0.299,-0.458,-0.299,-0.148,-0.299,-0.299,-0.299,-0.821,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.89,-1.352,-1.352,0.148,1.352,0.821,0.458,0.458,0.148,0,0.299,0.148,0,1.049,1.89,1.89,0.629,0.148,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,259,Kurugunta-2-GW,14.7,77.5,14.75,77.5,0,0,0.148,-0.148,-0.299,-0.299,-0.629,-0.629,-0.458,-0.458,-0.458,-0.629,-0.629,-0.629,-0.821,-0.629,-0.629,-0.458,-0.299,-0.148,-0.299,-0.299,-0.299,-0.299,-0.148,-0.148,-0.148,-1.049,-0.821,-0.821,-0.821,-1.049,-1.049,-1.352,-1.352,-1.049,-0.821,-0.821,-0.629,0.458,0.299,0.458,0.299,0.458,0.299,0.629,0.821,0.821,1.352,1.352,1.352,1.352,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,1.049,0.299,0.458,0.629,0.148,0.299,0.629,0.629,0.458,0.458,0.629,0.629,0.629,0.821,0.821,0.821,0.629,0.821,1.352,1.352,1.352,1.352,1.352,1.352,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,0.821,1.049,1.049,1.049,0.821,0.629,0.458,0.299,0.148,0.148,0.148,0.148,0.299,0.148,0,0.299,1.352,1.352,0.821,0.821,0.629,0.821,0.458,0.299,0.458,0.458,0.299,0,-0.458,-0.629,-0.458,-0.458,-0.629,-0.629,-0.629,-0.458,-0.299,-0.458,-0.458,-0.458,0,0,0,-0.299,0.821,0,0,0,-0.458,-0.299,-0.299,-0.821,-1.049,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-0.821,-0.821,-0.821,-0.821,-0.821,-1.049,-1.049,-1.352,-1.352,-1.352,-1.049,-1.049,-1.352,-1.352,-1.049,-1.049,-1.352,-1.352,-1.352,-1.049,-0.299,-0.148,-0.148,-0.148,0,-0.148,-0.148,-0.148,-0.148,0.148,0.629,0.629,0.148,0.458,0.148,0.148,0.148,0,0.299,0.299,0.458
ANDHRA PRADESH,ANANTAPUR,386,Burujupalli-GW,14.6,78.1,14.5,78,-1.049,-1.049,-1.049,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-0.629,-0.458,-0.299,0,0.299,0.458,0.629,0.821,1.049,1.049,0.821,1.049,0.458,0.299,0,-0.148,-0.148,-0.299,-0.458,-0.458,-0.458,-0.458,-0.458,-0.458,-0.458,-0.629,-0.458,-0.458,-0.458,-0.629,-0.299,-0.299,-0.299,0,0.299,-0.148,0,-0.299,-0.629,-0.299,-0.299,-0.148,-0.148,-0.148,-0.148,0.299,0.148,0.148,1.049,0.821,0.821,0.458,0.148,0,0.148,0.458,0.458,0.458,0.629,0.629,0.299,-0.148,0.629,0.629,0.629,0.821,0.821,0.629,0.821,0.821,1.049,0.821,0.629,0.629,0.458,0.148,0,0.148,0,0,0,-0.148,-0.299,-0.299,-0.821,-1.049,-1.049,-1.049,-1.049,-1.352,-1.352,-1.352,-1.049,-0.821,-0.629,-0.629,-0.148,0.148,0.148,0.299,-0.629,0.299,0.458,0.299,0.148,0.148,0,0,-1.049,-0.821,-0.821,-0.821,-1.352,-1.049,-1.049,-0.821,-0.821,-0.629,-0.821,-0.821,-0.299,0,0.299,0.821,0.458,-0.458,-0.629,-0.629,-0.629,-0.299,-0.148,0.299,0.148,0.458,-0.148,-0.629,-0.821,-0.821,-0.821,-1.049,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,1.352,1.352,1.352,1.352,1.352,1.352,1.89,1.352,1.352,1.352,1.352,1.049,0.821,0.629,0.299,0.148,0.299,0.629,0.458,0.458,0.821,1.049,1.89,1.352,1.049,1.049,1.049,1.049,0.629,1.89,1.352,1.89,1.89,1.89,1.049,1.89,1.89,1.89,1.89,1.89,1.89
ANDHRA PRADESH,ANANTAPUR,512,Vajrakarur-GW,15,77.4,15,77.5,-1.352,-1.352,-1.352,-1.352,-1.352,-1.89,-1.89,-1.89,-1.89,-1.352,-1.352,-1.352,-1.049,-0.821,-0.299,0.299,0.629,1.89,1.89,1.89,1.352,1.352,1.352,1.352,1.89,1.89,1.89,0.629,0.458,0.299,0,-0.148,0,-0.148,-0.148,0,0.299,0.821,1.049,1.049,0.821,0.629,0.458,0.458,0.458,0.458,0.458,0.629,0.821,1.049,0.629,1.89,1.352,1.049,0.821,0.629,0.629,0.629,0.299,0.299,0.629,0.629,0.299,0,1.89,1.352,1.049,1.049,1.049,1.049,1.049,0.821,1.049,1.352,1.352,0.458,0.299,0.458,0.148,0,-0.148,0,0.148,0.148,0.148,0.299,0,-0.629,-0.821,-1.049,-1.049,-1.352,-1.352,-1.049,-1.049,-0.629,-0.629,-0.629,-0.821,-0.458,-0.299,0.148,0.299,0.148,0.299,0.148,0,-0.148,0,0.148,-0.148,-0.148,0,-0.148,-0.299,-0.458,-0.299,-0.299,-0.299,-0.299,-0.148,0,-0.458,-0.821,-0.629,-0.458,-0.821,-0.821,-0.821,-0.821,-0.821,-1.049,-0.458,-0.458,-1.049,-1.049,0.148,0,-0.148,-0.299,-0.458,-0.458,-0.458,-0.458,-0.299,-0.299,0.148,-0.299,-0.458,-0.821,-0.629,-1.049,-1.049,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.89,-1.352,-1.352,0.821,0.821,0.821,0.629,0.458,0.458,0.458,0.458,0.148,-0.148,-0.299,-0.458,-0.629,-0.629,-0.629,-0.629,-0.821,-0.821,-1.049,-0.629,0.821,1.049,0.821,0.629,0.299,0.148,0.299,0.821,1.049,1.352,-0.148,0.821,1.352,-1.049,-0.629,1.352,1.352,1.89,1.89,1.89,1.89
